playername,cspm,dpm,killsat15,deathsat15,xpdiffat15,firstblood,golddiffat15
Faker,10.0239,434.3914,5,0,1275,0,1904
Faker,8.3575,500.7545,1,1,-1494,0,-977
Zeka,8.1486,456.7731,3,1,1494,0,977
Lava,8.4888,586.3075,0,0,592,0,552
Chovy,10.0657,487.8844,0,0,-592,0,-552
Lava,10.5227,317.235,0,1,481,0,-232
Chovy,8.9399,329.1646,1,1,-481,1,232
Clozer,8.4175,397.1068,0,0,421,0,26
FATE,6.8738,443.7087,0,0,-421,1,-26
Clozer,9.694,610.3704,0,2,-1117,0,-790
FATE,8.2448,391.0145,1,0,1117,1,790
Bdd,8.6961,614.5637,1,0,669,0,899
Aria,7.5827,341.1334,0,1,-669,0,-899
Bdd,8.8246,555.2984,0,0,-141,0,-205
Aria,8.0651,341.1573,1,0,141,0,205
Aria,8.9691,365.9107,0,1,-767,0,-986
Bdd,8.4192,460.5155,2,0,767,0,986
Vetheo,10.5994,605.1104,0,0,246,0,478
nukeduck,9.4322,284.1956,0,0,-246,1,-478
Dajor,8.8355,958.9436,0,0,-275,1,-844
Humanoid,9.1477,591.7887,0,1,275,0,844
caPs,9.7617,349.8342,0,0,102,1,501
Sertuss,8.9223,562.1969,0,0,-102,0,-501
NUCLEARINT,7.8919,303.4955,1,1,-1652,0,-986
Perkz,11.5315,649.5135,1,0,1652,0,986
Reeker,7.5415,391.463,0,2,-1044,0,-807
Larssen,8.4766,1138.7934,2,0,1044,1,807
Blue,10.0552,708.5083,0,0,-65,0,-1051
Palafox,9.779,454.558,1,0,65,0,1051
Abbedagge,10.4553,372.9174,0,1,-101,0,684
Fudge,8.9376,455.7167,0,1,101,0,-684
PowerOfEvil,8.9474,447.9934,1,0,-76,0,-136
Bjergsen,8.5197,374.0132,1,0,76,0,136
ry0ma,9.556,664.5471,1,0,270,0,729
Takeover,9.3073,574.1741,0,0,-270,0,-729
jojopyun,8.7189,416.0612,1,1,415,1,644
Blue,7.9924,688.4895,0,1,-415,0,-644
ShowMaker,6.742,143.3522,0,1,-1009,1,-947
Lava,10.7721,665.725,1,0,1009,0,947
Lava,9.6701,201.2912,0,1,-610,0,-822
ShowMaker,12.4976,453.4496,1,0,610,1,822
Chovy,10.9573,343.0177,1,1,63,0,453
Karis,8.6472,462.5494,1,0,-63,0,-453
Chovy,10.0605,563.2325,0,0,1167,0,984
Karis,7.4935,524.5722,0,0,-1167,0,-984
Karis,8.1338,668.5211,0,0,-711,0,348
Chovy,10.1408,529.0845,0,0,711,0,-348
Sertuss,7.4199,358.2918,1,1,-990,0,-793
nukeduck,7.2331,325.7562,1,0,990,0,793
Reeker,7.8505,786.2617,0,0,-820,0,-257
Dajor,8.5981,511.9938,0,0,820,0,257
NUCLEARINT,8.7529,319.7647,0,0,23,0,-841
Larssen,10.2,428.1176,0,0,-23,0,841
Humanoid,9.6761,434.7887,3,0,1255,0,2671
Vetheo,7.9014,475.8592,1,2,-1255,1,-2671
caPs,9.3363,451.0206,0,0,-719,0,-417
Perkz,12.1807,460.5577,0,0,719,0,417
Abbedagge,6.9471,454.6269,1,2,-623,0,-30
Blue,7.9783,518.806,0,2,623,0,30
Blue,7.863,361.1334,2,0,1578,0,1208
Abbedagge,8.3235,465.6553,1,2,-1578,1,-1208
Bjergsen,9.7844,722.4876,0,0,157,0,-18
toucouille,10.5804,374.9585,1,0,-157,0,18
toucouille,7.9481,147.2604,0,2,-168,0,-1230
