playername,cspm,dpm,killsat15,deathsat15,xpdiffat15,firstblood,golddiffat15
Bjergsen,7.9305,693.6493,1,0,520,0,947
caPs,7.7111,586.773,1,0,385,1,562
Feisty,7.7555,274.3755,0,1,-526,0,-1657
Lava,8.0908,567.9573,0,1,-468,0,-888
Dajor,8.1921,388.0086,1,0,-805,0,-1304
Zeka,8.2382,427.4705,1,1,79,1,-398
Chovy,8.8689,921.9794,1,1,27,0,418
caPs,9.2205,725.3452,3,0,896,0,1698
ShowMaker,8.8957,281.113,0,1,-376,0,-513
jojopyun,9.5972,530.683,1,0,1492,1,1322
ShowMaker,9.6491,520.3759,0,0,-265,0,337
FATE,8.2586,561.6475,0,1,50,0,120
Karis,7.7746,539.0374,0,0,-660,0,-384
Palafox,8.605,364.2878,0,0,1034,1,730
Blue,9.6515,661.0295,0,0,-198,0,-569
Faker,8.095,425.6152,1,0,-476,0,-314
Blue,9.8532,528.1066,0,0,8,0,-232
Bjergsen,8.7628,482.8968,2,2,540,0,1318
VicLa,9.839,702.8898,0,2,-516,0,-454
Abbedagge,7.9585,264.1703,0,1,-86,0,527
Faker,9.5284,468.7164,2,0,405,0,735
VicLa,7.5182,319.1768,2,2,-1003,0,-1460
Vetheo,9.5848,459.4464,2,1,-461,1,-659
toucouille,8.6623,572.7048,1,0,191,0,832
Zeka,9.9851,515.4532,2,0,577,1,1157
Reeker,7.6609,214.4127,1,4,-628,0,-1621
jojopyun,6.5831,649.279,1,0,-584,1,-228
Karis,6.1513,282.6303,0,1,-592,0,-1186
Faker,8.9796,486.6667,0,0,366,0,-299
Lava,9.2104,530.0834,1,1,-765,1,-17
Humanoid,9.1354,460.0979,0,1,773,1,332
caPs,11.5902,728.2263,0,1,-90,0,-606
ry0ma,8.1213,709.7022,1,0,341,1,685
Lava,7.8072,507.1807,0,1,-275,0,-579
Zeka,9.5835,308.2006,1,0,127,0,22
Bjergsen,8.4838,478.2368,2,1,-1209,0,-871
caPs,7.6695,558.9831,5,2,821,0,1823
nukeduck,9.8714,560.2894,2,0,784,0,1066
ShowMaker,8.575,533.9824,0,0,236,1,350
Quid,11.5164,206.0554,1,0,-84,1,147
caPs,9.7617,349.8342,0,0,102,1,501
PowerOfEvil,9.6983,742.5647,0,1,-507,0,-227
Maple,9.5945,775.2719,0,0,-58,0,464
Abbedagge,8.5563,496.7254,3,1,317,1,716
Keaiduo,9.941,173.8053,0,0,108,0,-482
nukeduck,9.1853,342.7193,0,1,297,0,146
Humanoid,9.4864,1008.1269,0,1,600,0,664
Bjergsen,7.6769,752.5472,0,1,-341,0,-548
Bjergsen,10.0655,397.3132,1,0,279,0,658
Zeka,8.6242,1137.0198,1,1,451,1,453
Jensen,8.5611,311.5954,1,0,205,1,153
toucouille,10.8588,528.0349,0,0,422,0,582
Blue,10.2857,328.4706,0,1,400,0,415
ry0ma,6.3892,273.4149,2,0,-507,0,-1298
Chovy,8.5039,604.3045,0,3,-1043,1,-660
Faker,9.4704,400.3188,0,0,-179,0,-158
Bjergsen,8.1408,383.0423,0,1,-531,0,-1475
toucouille,10.2656,418.9623,0,0,-72,0,-214
Zeka,7.2701,391.1974,0,0,134,0,-700
FIESTA,7.9852,381.1867,0,1,221,0,177
Faker,9.1353,631.4662,0,0,442,1,785
ShowMaker,7.3361,619.4118,2,0,592,0,1186
Bdd,9.1366,610.1156,0,1,-54,0,504
Humanoid,8.9488,746.8691,0,0,-167,0,101
Bdd,7.0466,230.3368,0,0,8,0,-832
toucouille,8.6677,398.7159,0,1,-627,0,-300
Palafox,8.8902,393.713,0,0,77,0,-1066
Faker,7.1106,442.7163,0,1,-858,0,-687
Clozer,9.942,470.6667,2,0,134,0,544
nukeduck,7.3367000000000004,448.7102,1,1,2,0,-1270
Perkz,8.4778,462.3891,2,0,14,1,889
caPs,9.8763,547.4879,1,0,996,0,241
Palafox,7.6913,1104.1976,0,1,-411,0,-221
Chovy,8.4288,739.7833,5,0,310,1,1761
Bdd,8.0496,485.0733,0,0,-60,0,-230
Takeover,9.1538,402.5864,1,2,939,0,-784
Clozer,9.1778,563.2122,0,0,372,0,182
Triple,8.1193,443.0734,1,1,-400,0,-950
Sertuss,8.9726,559.3493,0,1,-145,0,-1457
FATE,9.6987,222.4103,0,0,128,0,-670
Palafox,8.0455,737.7273,3,0,486,0,1254
PowerOfEvil,8.5098,669.8323,0,0,-419,0,-410
ShowMaker,8.4967,649.6633,1,1,-323,0,-209
Ten10,7.8627,335.2224,1,0,32,0,403
Humanoid,11.9759,728.2786,1,0,1016,0,1333
Zeka,7.3092,336.9569,0,1,-808,0,-681
nukeduck,8.9003,402.8517,3,0,21,1,1662
Jensen,8.6838,396.9274,0,0,-106,0,-1031
Lava,7.5527,283.2911,1,0,42,0,-992
Humanoid,8.7379,962.489,2,0,1271,0,1221
Bdd,9.1321,456.6792,0,0,-44,0,293
Dajor,9.6733,943.9314,0,0,100,0,104
Lava,8.4492,415.568,0,1,-955,0,-814
FATE,10.3288,394.8237,0,0,325,0,167
NUCLEARINT,7.9085,362.4989,1,1,-451,0,-616
Humanoid,7.9518,425.8367,1,0,355,0,454
Karis,9.5263,474.7215,0,0,37,1,363
Chovy,10.0048,602.7648,1,0,320,0,655
Clozer,6.8896,523.3817,1,0,380,0,305
Nisqy,8.8606,404.0044,0,0,-274,1,380
toucouille,9.7086,707.6033,0,0,697,0,160
ShowMaker,10.7081,446.4249,0,0,-309,0,-434
Chovy,11.0025,715.9264,0,0,908,0,933
Fudge,9.3302,927.7111,0,0,638,0,-745
Ablazeolive,8.4084,609.4595,1,1,-832,0,-30
Dajor,8.8355,958.9436,0,0,-275,1,-844
Vetheo,11.6533,553.7923,0,0,360,0,-26
Chovy,11.292,632.6018,0,0,920,0,884
Larssen,6.9995,670.4433,1,3,-295,0,-966
Ablazeolive,7.1566,1009.9188,1,1,-326,0,115
Chovy,11.4372,665.9002,2,0,204,1,1456
Humanoid,7.7586,854.8768,1,2,843,0,-1037
Palafox,8.234,364.9149,1,2,-415,0,-487
FATE,7.8844,681.3631,0,2,-667,0,73
jojopyun,8.5714,478.022,1,0,-229,0,126
Lava,9.0237,466.8284,2,1,-693,0,255
Karis,9.5545,466.6052,1,1,-28,1,-435
Chovy,8.6536,286.2443,0,0,331,0,644
Bjergsen,7.464,400.776,0,1,82,0,-340
toucouille,9.2683,538.4991,2,0,523,0,421
Lava,8.9109,905.6223,0,0,511,0,856
jojopyun,8.4757,634.4152,0,0,-337,0,230
Bdd,9.2792,618.401,0,0,472,0,42
Ablazeolive,8.0373,579.4176,3,0,-638,1,745
Bdd,8.4923,905.5648,1,0,-451,0,-453
PowerOfEvil,8.6817,583.6013,0,1,627,1,512
Chovy,12.0335,248.8156,0,0,-290,0,175
toucouille,8.806,518.9552,3,0,1155,0,1654
FATE,7.5316,422.5855,0,0,457,1,375
Clozer,7.4197,222.2354,0,1,-173,0,-1200
Bdd,7.2516,422.1486,0,0,273,0,-271
Fudge,9.6154,658.8462,2,0,-32,0,213
Palafox,10.3929,472.7283,0,2,-357,0,-1098
caPs,7.8559,292.5557,1,0,-442,1,-9
Bdd,9.5833,136.3141,0,0,169,0,-332
nukeduck,8.1208,495.5544,0,1,-259,0,-408
jojopyun,9.8671,338.2275,1,0,466,0,342
ShowMaker,9.2576,396.0107,0,0,-287,0,-376
Bdd,9.6461,521.7516,0,0,81,0,383
FATE,7.8371,231.3764,0,1,-299,0,-28
Bdd,7.4494,309.573,1,1,-262,0,183
Blue,10.2857,435.332,0,0,501,0,-229
Bdd,9.5421,213.1758,1,0,183,0,-1070
Aria,7.2177,216.7114,1,2,-1089,1,-546
ShowMaker,7.9023,268.8231,2,2,-564,0,447
toucouille,8.018,406.1562,0,0,-352,0,-276
Larssen,10.112,594.3561,1,0,381,0,283
Chovy,8.7703,1222.009,0,2,-636,0,-734
Blue,9.5317,269.7245,0,0,-137,0,-184
nukeduck,9.8067,1044.0422,0,1,-555,0,-10
Karis,9.0014,618.8423,0,2,-27,0,-1431
Larssen,10.989,655.6044,0,0,1245,0,3063
Karis,8.2217,474.1965,0,0,446,1,411
Nisqy,8.6957,875.2034,0,0,518,0,-82
jojopyun,10.9784,278.6531,3,0,-164,1,228
Vetheo,8.0274,781.1063,2,0,-411,0,-878
Palafox,6.4449,509.605,1,1,1162,0,-158
Clozer,8.6225,288.3576,0,0,-63,1,-291
FATE,9.352,233.4972,0,0,-1039,0,-1545
Vetheo,7.4049,468.7317,2,0,-48,1,1175
Zeka,8.9989,1230.7534,0,0,-201,0,-242
Dajor,9.5146,672.1221,1,0,-524,0,-185
Zeka,9.1496,675.62,0,0,-320,0,-655
ShowMaker,7.588,363.3938,0,1,-36,0,-805
Humanoid,8.2393,344.669,0,0,-431,0,-1749
Nisqy,7.0864,716.1397,3,1,-289,0,-494
Karis,8.0471,334.3906,0,1,-1517,0,-723
FATE,9.0273,500.0727,2,0,738,1,1404
Blue,7.863,361.1334,2,0,1578,0,1208
Chovy,10.0605,563.2325,0,0,1167,0,984
VicLa,9.0102,594.0205,0,0,112,0,-360
Larssen,6.9347,691.3999,5,1,1202,0,1844
Lava,8.6313,710.4252,1,0,880,0,1008
Zeka,7.2402,257.8324,0,0,290,0,-175
Palafox,8.4706,173.3782,1,0,-400,1,-415
jojopyun,8.7396,413.6734,1,0,264,0,226
FATE,11.5466,332.1914,0,0,84,0,-147
ShowMaker,8.3309,471.0647,2,0,-616,0,204
Bjergsen,9.3191,448.5957,0,0,-71,0,-467
Fudge,9.1775,930.6782,0,0,862,1,-45
Ablazeolive,7.1489,729.4468,0,1,-323,0,-284
Abbedagge,9.4373,624.714,1,1,396,1,665
PowerOfEvil,7.8547,388.2522,3,1,988,0,504
Lava,8.1124,363.3933,0,0,321,1,-261
Zeka,12.352,849.017,1,0,342,0,679
Ten10,6.4648,235.2825,1,1,-880,0,-1008
FATE,8.5911,411.5466,1,1,398,0,70
Faker,8.9584,679.0899,0,0,391,0,1058
FATE,6.8738,443.7087,0,0,-421,1,-26
Faker,8.8421,682.0478,1,0,1232,1,1656
VicLa,9.4436,359.7854,0,1,-26,0,-877
caPs,7.0989,281.5909,0,2,-1203,0,-570
Karis,6.7474,302.8139,1,2,852,0,-782
Aria,8.9691,365.9107,0,1,-767,0,-986
Palafox,9.0492,500.993,2,0,106,0,1031
Jensen,7.3543,324.5144,0,2,-283,0,-614
Dajor,7.469,957.4727,0,1,125,0,-367
ShowMaker,6.6244,283.5499,0,1,-558,0,-1721
jojopyun,8.7621,527.5822,0,0,627,0,-179
Bdd,8.3147,753.8071,1,0,-862,1,-59
ShowMaker,10.5786,457.7948,0,0,593,1,1333
Faker,8.4753,363.3962,0,0,116,0,-92
VicLa,10.5712,782.2299,3,0,1267,0,1431
toucouille,7.9756,244.5967,1,0,639,0,-256
caPs,8.5821,764.2224,5,0,598,1,1998
jojopyun,6.8278,456.284,3,1,-9,0,703
Karis,8.2521,408.8219,1,0,475,0,821
caPs,8.5554,588.2188,0,1,-518,0,82
Perkz,9.441,479.472,1,2,-548,0,-283
Ablazeolive,8.958,477.3561,0,1,-43,0,-83
ShowMaker,7.3823,518.1007,1,1,-396,0,-561
Zeka,9.642,672.5146,0,0,276,1,208
Takeover,9.697,263.9553,1,1,226,0,-1495
PowerOfEvil,8.9263,775.1956,2,1,-1165,1,-373
Larssen,9.0816,463.3358,2,1,1681,1,1744
Chovy,11.6403,637.8965,1,0,819,0,1514
caPs,9.0684,465.7879,2,0,77,0,161
Vetheo,8.1793,830.8503,0,0,-132,0,-799
Blue,9.9746,102.4629,1,1,-478,1,-251
Chovy,10.3767,550,1,0,1470,0,1113
Humanoid,7.6741,684.4765,0,0,1012,0,854
Faker,9.5865,676.2406,0,0,626,0,-403
toucouille,9.5662,892.1239,0,0,10,0,150
Sertuss,8.9223,562.1969,0,0,-102,0,-501
ShowMaker,9.8355,399.2467,0,0,446,0,-358
Blue,9.1348,550.1498,1,1,506,0,468
Bjergsen,8.3607,181.4098,1,1,-75,0,-145
Humanoid,8.5813,396.1938,1,2,-692,0,-3
Perkz,9.1174,297.2023,1,0,285,0,939
ShowMaker,6.7952,495.5422,0,1,275,1,579
Zeka,8.4233,720.6048,0,1,-810,0,-551
Aria,7.7538,551.7927,1,0,810,0,551
ShowMaker,7.8082,291.4015,0,0,-493,1,-695
toucouille,7.7655,513.4845,0,1,94,0,171
PowerOfEvil,8.7336,608.8912,3,2,-678,0,-464
Sertuss,9.426,272.5559,0,1,-1151,0,-2361
FATE,7.4377,463.6967,2,2,154,0,-122
Sertuss,6.8773,290.2602,0,2,-1236,0,-2566
Abbedagge,9.9836,755.7635,0,0,145,1,376
toucouille,8.8751,503.1834,1,1,-451,1,587
FATE,9.0144,522.0671,0,1,58,0,-703
Perkz,8.7372,839.3112,2,0,1151,0,2361
VicLa,8.6011,576.8364,0,0,176,0,268
Vetheo,8.0914,437.8467,0,0,-46,0,-1632
Vetheo,9.5167,573.7175,5,0,1236,0,2566
Larssen,9.3424,861.067,1,0,1402,0,1231
Humanoid,9.7104,417.0358,1,1,1421,1,940
Larssen,8.7611,292.3009,0,0,939,1,281
Lava,9.8668,746.403,0,0,-276,0,-208
Chovy,7.9251,792.0437,3,1,-812,1,505
toucouille,9.0924,623.225,0,3,-89,0,-255
Clozer,7.954,631.9182,1,0,-463,0,-795
Karis,8.672,349.2163,1,0,1204,0,593
Aria,10.0058,435.1656,0,0,299,0,273
Bdd,9.3943,360.8345,0,1,-273,0,-786
Fudge,9.8526,356.7474,1,0,797,0,688
Palafox,8.7091,341.8589,0,0,-153,0,-569
Lava,10.3016,539.5416,0,0,557,0,50
Quid,8.9689,814.5008,0,1,-566,0,-661
Blue,7.8169,580.6954,2,0,336,0,331
Jensen,9.1238,274.3584,0,0,18,0,-209
ShowMaker,9.1583,330.6419,3,0,247,0,549
Lava,8.8828,342.1517,1,1,-1210,0,-355
Chovy,9.71,517.4649,2,0,1465,0,1283
ShowMaker,7.5605,238.8827,0,0,684,1,-346
nukeduck,9.4322,284.1956,0,0,-246,1,-478
FATE,8.7717,339.4727,0,0,-1099,0,-1442
Faker,7.8134,904.2353,0,0,-723,0,-194
Clozer,10.4135,947.8195,0,0,285,0,-155
toucouille,7.9919,497.1039,0,2,-736,0,-1143
caPs,6.8516,555.5187,0,0,-60,0,-31
NUCLEARINT,7.7757,724.9908,3,0,289,0,494
ShowMaker,8.482,293.5689,1,1,1434,0,131
jojopyun,7.1128,404.8261,0,3,-1525,0,-1397
FATE,7.859,585.0079,0,1,-763,0,-891
Clozer,9.8116,162.8936,0,1,-413,0,-830
Faker,8.3835,577.9699,0,0,-387,0,201
jojopyun,9.1776,681.8092,2,0,1537,0,1830
Clozer,9.415,801.684,0,0,152,0,462
Clozer,7.5638,359.5824,0,2,-837,0,-1349
Takeover,9.1268,454.2254,1,0,114,0,371
toucouille,8.4127,975.1587,3,0,-4,0,897
Larssen,6.728,553.9816,1,1,-1285,0,-601
Vetheo,11.956,660.2199,0,0,-175,0,-202
Reeker,7.5415,391.463,0,2,-1044,0,-807
FATE,8.1435,407.3011,0,1,-1519,0,-686
PowerOfEvil,9.5017,347.608,0,0,-57,1,392
FATE,7.6439,384.5629,1,0,-186,0,-683
NUCLEARINT,8.9341,408.2057,0,0,-100,0,-104
Karis,8.1583,495.7435,0,0,130,0,57
Chovy,10.2685,652.6536,0,0,-435,0,-206
Fudge,8.1381,839.1291,1,0,832,1,30
FATE,9.809,448.4494,0,0,855,1,1346
Sertuss,7.4199,358.2918,1,1,-990,0,-793
ShowMaker,8.5449,366.3529,0,0,77,0,10
Sertuss,8.1426,430.6567,0,0,-525,0,-1003
Jensen,7.6692,1006.3759,1,0,549,0,-84
Larssen,8.9439,876.2166,2,0,1203,0,570
Fudge,7.246,254.9904,0,0,261,0,-412
nukeduck,9.7707,230.2646,1,0,100,1,511
Fudge,9.8769,459.2066,2,0,-98,0,79
NUCLEARINT,8.7529,319.7647,0,0,23,0,-841
caPs,7.9621,750.6477,1,0,511,0,728
Karis,7.4965,523.9758,0,2,-401,0,-576
Bdd,8.9495,540.0595,0,0,237,0,-95
jojopyun,8.9609,599.5951,0,0,898,0,630
Dajor,8.0757,535.9518,0,0,230,0,37
Dajor,11.1735,946.465,0,0,-313,0,-606
Chovy,9.5675,549.0672,1,1,802,0,249
Reeker,8.0948,373.4741,0,0,1176,0,68
Jensen,9.9197,159.7432,0,1,627,0,300
caPs,10.1956,420.6519,0,0,-92,1,-415
Clozer,8.7346,610.9259,1,1,668,1,-399
Karis,7.994,573.816,1,1,720,0,539
Perkz,7.2473,577.3917,0,1,-342,0,-591
Clozer,7.6707,506.6265,2,0,266,0,247
FATE,10.3888,412.8149,1,0,-240,0,-1594
Fudge,10.8483,458.509,1,0,-61,0,183
Clozer,10.0364,494.774,2,1,123,0,284
Aria,9.459,360.1399,0,0,-99,0,-229
Chovy,9.5181,607.9518,1,0,175,0,-52
Abbedagge,8.0556,324.5635,1,0,83,0,-224
ShowMaker,9.0668,446.5068,0,0,55,0,557
toucouille,9.6852,461.8891,0,0,-142,0,483
Humanoid,8.38,470.5368,4,1,927,0,1317
Bdd,9.5535,223.0918,0,1,-252,0,-370
Faker,8.2389,342.8684,1,0,-247,1,-202
Lava,10.3571,758.3333,1,0,84,0,808
Fudge,9.383,259.0959,0,1,257,0,-709
VicLa,6.9992,446.8942,0,2,-995,0,-1468
jojopyun,7.6359,347.8833,0,0,229,0,313
Faker,7.46,741.8356,0,0,36,1,805
Nisqy,7.3022,518.3873,1,2,-1554,0,-550
Abbedagge,6.7278,446.2318,0,3,-1273,0,-813
Bdd,7.7303,292.342,2,0,-887,0,-232
Maple,9.594,1000.4887,1,0,680,0,635
Faker,7.6715,500.9875,0,0,-640,1,-28
Humanoid,9.1477,591.7887,0,1,275,0,844
Zeka,10.9203,910.1279,0,1,191,0,619
Humanoid,10.6991,512.6283,0,0,1370,0,1316
Faker,9.5706,506.1043,0,0,157,0,357
ShowMaker,8.9259,250.9531,0,1,-204,0,-1456
ShowMaker,6.8234,363.4773,0,0,-152,0,-462
Faker,8.5559,799.7896,1,0,-618,0,802
Chovy,7.7749,811.4578,0,0,463,0,795
Jensen,7.3903,411.5973,0,1,451,0,-587
Dajor,8.1924,452.9498,2,1,-533,0,-1253
Zeka,9.1535,188.3721,0,0,-258,0,66
Vetheo,8.6432,449.7487,2,0,741,0,350
toucouille,7.5278,318.1706,0,2,-1582,0,-2893
Faker,8.991,1134.3403,0,1,380,0,14
Palafox,11.346,1063.9782,4,0,175,1,1873
Blue,7.815,187.9107,0,0,888,0,-726
NUCLEARINT,7.0393,366.7372,1,0,66,0,-352
Bjergsen,9.0566,392.8737,1,0,632,0,1290
Blue,10.9235,643.3773,0,0,-189,0,-910
toucouille,8.7659,681.4764,0,1,-1153,0,-1413
Palafox,9.0503,318.2834,1,0,1108,0,668
ShowMaker,11.0131,735.2324,1,1,134,0,560
FATE,8.5125,536.4402,3,0,-185,0,1334
Aria,7.7101,637.6701,1,0,918,1,838
Dajor,7.1138,358.2927,0,0,-1293,0,-1099
ShowMaker,7.6465,541.3674,0,0,258,0,-66
Perkz,10.2732,673.0244,0,1,231,0,524
Lava,8.1829,610.8776,1,0,-221,0,-177
Zeka,8.432,376.0052,0,1,489,0,681
Chovy,8.5596,406.2881,1,0,642,0,164
Maple,9.6661,527.3768,1,0,423,0,577
Ablazeolive,10.0352,420.9859,1,1,-335,0,448
Palafox,7.5132,274.4268,0,1,-995,0,-644
Karis,7.8147,539.4768,0,1,-819,0,-1514
jojopyun,7.8899,747.6147,4,0,400,1,950
Bdd,8.307,812.2812,0,0,-549,0,-527
Karis,10.3372,323.8988,0,1,493,0,695
Lava,10.3647,805.6814,0,0,-587,1,186
Zeka,9.5833,244.1987,0,0,-169,0,332
jojopyun,8.6506,391.321,1,0,-116,0,-37
PowerOfEvil,9.7674,650.0684,0,1,6,0,-847
Aria,7.4369,542.7888,2,1,-358,0,-315
Ablazeolive,8.1127,365.9155,1,0,-501,1,229
jojopyun,7.8234,335.1896,0,0,294,1,121
Fudge,7.9165,339.46,0,1,-964,0,-1051
Bjergsen,9.5502,503.9792,1,1,441,0,160
VicLa,7.7698,800.0935,1,0,616,0,-204
Clozer,9.2819,976.9483,1,1,-344,0,42
jojopyun,9.6784,380.4323,1,1,296,1,297
Larssen,8.2185,391.0533,1,0,256,1,450
FATE,8.2801,577.5663,0,0,54,0,-504
Faker,6.9376,410.4555,0,1,-418,0,-323
Vetheo,8.9229,525.6151,0,1,-590,0,-319
Faker,7.3146,591.8764,1,0,262,0,-183
Palafox,8.7057,474.0736,0,1,-416,0,-1216
Dajor,8.4178,501.5668,0,1,289,0,-487
Nisqy,8.2346,456.1572,1,0,56,1,464
VicLa,8.9705,541.8934,1,0,331,0,704
Clozer,8.2485,396.2645,0,0,-549,0,-343
Dajor,9.3092,380.0453,0,1,-666,0,-562
Faker,8.4427,475.3411,0,0,132,1,1130
FATE,8.9013,313.743,1,0,-684,0,346
Faker,8.7821,442.1846,3,0,253,1,265
caPs,7.1043,581.6764,0,2,-559,0,-1148
Bjergsen,8.9157,886.1274,1,0,153,0,569
FATE,9.0171,462.4223,0,1,-237,0,-291
Blue,9.8182,375.4232,1,0,146,0,-407
Reeker,7.8505,786.2617,0,0,-820,0,-257
Larssen,7.9241,580.759,0,0,167,0,-101
caPs,7.8011,463.5564,1,1,-383,1,639
Lava,9.7401,1103.7175,2,0,1338,1,1182
Chovy,11.2761,263.0255,0,0,607,0,-291
Lava,8.7218,540.9774,0,0,265,1,-337
Clozer,8.3165,537.2873,0,1,-452,0,-999
caPs,8.3158,555.193,1,1,53,1,-2
NUCLEARINT,7.6199,496.5663,0,0,-625,0,-12
Abbedagge,8.1454,271.5232,0,0,-163,0,-1239
Palafox,9.0403,874.1919,2,0,1107,0,863
Sertuss,9.4401,487.3577,1,1,-25,0,-194
Clozer,8.7421,487.8302,0,0,557,1,128
Larssen,8.6842,396.2815,2,1,-956,0,-512
Abbedagge,6.9658,429.4896,2,1,-828,0,-538
Faker,8.6345,615.1406,0,0,-175,0,52
jojopyun,9.9816,1411.5824,0,0,-371,0,382
Vetheo,7.9014,475.8592,1,2,-1255,1,-2671
FATE,7.6892,568.2913,2,1,-316,0,30
Larssen,8.3096,542.3523,2,0,82,0,-35
Chovy,10.8538,553.1983,1,1,128,1,961
Zeka,10.5056,554.8315,0,0,870,0,438
Perkz,9.4912,566.4823,0,0,459,0,-85
Sertuss,9.9835,381.9769,0,0,-110,0,-783
FATE,8.7524,636.7601,0,0,587,0,-186
Palafox,9.0526,512.1684,0,1,-277,0,69
Faker,8.8089,395.9668,1,0,-238,0,516
toucouille,9.1608,914.6183,1,0,106,0,624
Palafox,7.4561,742.2332,2,1,149,1,1049
Lava,10.7721,665.725,1,0,1009,0,947
Lava,8.1254,366.3574,0,0,-426,0,-790
Zeka,8.0075,466.2249,0,0,-120,0,61
FATE,8.2739,268.5307,1,0,-247,0,-549
FATE,9.374,341.5313,0,1,-331,0,-704
Faker,8.8273,639.435,0,0,186,0,683
Dajor,4.8582,352.1093,1,0,-1012,1,-854
Reeker,7.2514,404.2427,1,0,-267,0,120
Dajor,8.7778,347.5693,1,1,-482,0,-574
Clozer,7.0751,848.9723,1,0,115,0,84
Zeka,9.2126,523.3633,0,0,364,0,-34
Nisqy,7.6923,577.4176,1,2,-800,0,-736
Blue,8.9175,501.3402,5,0,992,1,1429
Jensen,7.6053,189.0854,0,1,-204,0,-1372
Nisqy,6.6266,503.4843,3,0,132,1,799
Abbedagge,9.611,365.6964,0,0,-734,0,77
Clozer,9.1818,702.3529,0,2,-632,0,-710
Sertuss,8.981,833.8274,1,0,425,0,513
FATE,9.3936,477.7178,1,0,-267,1,1001
Karis,8.9453,300.762,0,0,285,0,12
Larssen,7.7221,500.2296,0,0,514,0,43
Vetheo,8.1898,432.6186,4,1,1027,0,1520
ShowMaker,7.5074,295.1232,1,0,-378,0,-301
Vetheo,9.7447,604.0851,2,0,853,0,1081
FATE,8.2828,514.0637,0,0,-396,0,-176
Ablazeolive,7.7827,406.1087,0,2,-1034,0,-730
LIDER,6.8189,577.1216,1,1,848,0,-53
Maple,7.8614,332.1278,1,0,-88,0,129
Vetheo,10.0227,594.2922,0,0,666,0,562
Abbedagge,10.5457,764.6193,2,0,551,1,1505
Lava,8.5343,599.6755,2,0,712,0,1792
Zeka,8.4222,368.4677,0,0,-779,0,-364
Aria,7.2897,482.2964,2,0,468,0,888
Palafox,7.1847,225.1975,1,0,-361,0,-143
Nisqy,8.963,547.1766,1,1,899,0,-129
jojopyun,10.8004,396.7476,0,0,478,0,251
ShowMaker,7.7839,422.7978,0,0,-642,0,-164
Karis,6.9589,329.3151,0,1,-879,0,-883
Palafox,6.9014,579.0845,1,0,-317,0,-716
Lava,8.5665,594.3005,0,1,309,0,434
Lava,9.5248,642.635,2,0,712,0,1276
caPs,7.6758,1007.168,1,0,-53,0,1259
Faker,8.1534,696.263,1,1,-475,0,-821
Karis,7.9643,269.9643,0,0,223,0,-430
Faker,7.2832,323.6784,0,0,-70,0,-47
jojopyun,7.176,415.608,2,0,-82,1,340
Karis,7.8206,660.8446,1,0,-415,0,-749
Sertuss,7.8522,674.5646,0,0,113,0,-519
Abbedagge,10.3731,684.6642,1,1,-248,0,1034
Chovy,9.4228,425.585,1,0,1519,0,686
Faker,8.869,642.7083,1,1,-84,0,-808
VicLa,9.3948,379.4892,0,0,-94,0,635
Fudge,9.9104,180,1,1,-765,0,-744
Vetheo,9.4652,660.5615,0,1,-670,1,-61
Chovy,9.5559,900.0269,1,0,494,0,320
Clozer,9.6557,410.7766,0,0,634,1,392
Dajor,8.084,419.3094,0,0,-277,0,-1442
Blue,10.5804,408.9844,1,1,174,0,-194
Humanoid,7.5155,753.3655,1,0,306,0,548
Fudge,9.1249,451.4303,0,1,886,1,550
Dajor,8.6707,506.9184,0,1,-600,0,-664
caPs,5.4895,402.2727,0,3,-1465,0,-1179
Nisqy,8.756,423.1579,1,0,513,1,1072
Chovy,10.6299,654.4994,0,0,-364,0,34
Faker,8.129,478.6774,0,1,-821,0,-1374
Zeka,8.5533,427.6663,1,0,-430,0,-637
Humanoid,7.6169,471.5813,3,2,-532,0,412
Bdd,9.6489,280.0281,0,1,-1699,0,-739
