playername,cspm,dpm,killsat15,deathsat15,xpdiffat15,firstblood,golddiffat15
Perkz,8.6784,414.3438,2,1,637,0,338
Bdd,7.3293,618.2257,0,1,401,1,576
Vetheo,7.312,467.9705,0,3,-539,0,-2214
Bdd,8.8529,994.8977,0,0,637,0,65
toucouille,9.9199,458.1536,0,0,381,0,2
Faker,10.4366,693.1629,0,1,33,0,-343
toucouille,8.2009,711.3203,1,1,743,0,427
Abbedagge,6.659,463.4562,0,0,-420,0,-590
nukeduck,9.4917,416.7221,1,0,373,0,-911
ShowMaker,7.8227,622.4902,2,0,-132,0,-173
NUCLEARINT,9.7573,578.1262,0,0,1066,0,1013
Maple,9.2388,390.9587,0,0,-294,0,-337
ShowMaker,8.6263,297.0458,1,0,-183,0,1070
Faker,7.7894,512.2523,0,1,634,0,193
Lava,10.0259,488.5937,2,0,-551,1,106
Palafox,9.2308,843.0121,1,1,-156,0,-2
Nisqy,7.1765,804.4235,1,0,882,0,93
Ablazeolive,8.0357,372.4342,0,0,849,0,102
Dajor,7.8395,755.0537,4,0,295,1,966
Blue,8.9764,866.811,0,0,-391,0,-429
Dajor,9.3366,656.7512,1,1,-231,0,-524
toucouille,8.7307,751.0558,1,0,509,1,210
jojopyun,8.6381,671.5694,1,2,-308,1,194
Ablazeolive,8.8433,239.403,1,1,248,0,-1034
Bdd,8.7306,326.4626,2,0,-327,0,526
Bjergsen,9.7024,699.2092,0,0,248,1,310
Zeka,9.3623,621.4479,1,0,995,0,1468
Chovy,10.8033,681.5069,4,1,974,1,2423
Bdd,9.0818,306.2642,1,0,-562,0,465
Abbedagge,10.4553,372.9174,0,1,-101,0,684
Bdd,8.4359,353.8462,0,0,614,0,-445
Larssen,9.6877,542.9346,2,1,841,0,687
PowerOfEvil,9.7387,463.1573,0,1,423,0,-35
Clozer,10.5843,703.4725,0,1,188,0,-455
Aria,7.9521,464.7114,0,0,-1,0,49
Chovy,9.664,633.3024,0,1,910,0,447
